,packageId,lastModified,packageLink,docClass,title,congress,dateIssued
0,FR-2024-06-20,2024-06-19T05:00:59Z,https://api.govinfo.gov/packages/FR-2024-06-20/summary,FR,"Federal Register Volume 89 Issue 119 (June 20, 2024)",,2024-06-20
1,FR-2024-06-18,2024-06-18T07:12:23Z,https://api.govinfo.gov/packages/FR-2024-06-18/summary,FR,"Federal Register Volume 89 Issue 118 (June 18, 2024)",,2024-06-18
2,FR-2024-06-17,2024-06-17T22:29:40Z,https://api.govinfo.gov/packages/FR-2024-06-17/summary,FR,"Federal Register Volume 89 Issue 117 (June 17, 2024)",,2024-06-17
3,FR-2024-06-14,2024-06-17T22:26:42Z,https://api.govinfo.gov/packages/FR-2024-06-14/summary,FR,"Federal Register Volume 89 Issue 116 (June 14, 2024)",,2024-06-14
4,FR-2024-06-13,2024-06-13T04:44:44Z,https://api.govinfo.gov/packages/FR-2024-06-13/summary,FR,"Federal Register Volume 89 Issue 115 (June 13, 2024)",,2024-06-13
5,FR-2024-06-12,2024-06-13T01:15:18Z,https://api.govinfo.gov/packages/FR-2024-06-12/summary,FR,"Federal Register Volume 89 Issue 114 (June 12, 2024)",,2024-06-12
6,FR-2024-06-07,2024-06-11T19:22:56Z,https://api.govinfo.gov/packages/FR-2024-06-07/summary,FR,"Federal Register Volume 89 Issue 111 (June 7, 2024)",,2024-06-07
7,FR-2024-06-11,2024-06-11T18:36:37Z,https://api.govinfo.gov/packages/FR-2024-06-11/summary,FR,"Federal Register Volume 89 Issue 113 (June 11, 2024)",,2024-06-11
8,FR-2024-06-10,2024-06-10T16:46:33Z,https://api.govinfo.gov/packages/FR-2024-06-10/summary,FR,"Federal Register Volume 89 Issue 112 (June 10, 2024)",,2024-06-10
9,FR-2000-01-18,2024-06-08T20:18:53Z,https://api.govinfo.gov/packages/FR-2000-01-18/summary,FR,"Federal Register Volume 65 Issue 11 (January 18, 2000)",,2000-01-18
10,FR-2000-01-19,2024-06-08T20:16:36Z,https://api.govinfo.gov/packages/FR-2000-01-19/summary,FR,"Federal Register Volume 65 Issue 12 (January 19, 2000)",,2000-01-19
11,FR-2000-01-20,2024-06-08T20:13:22Z,https://api.govinfo.gov/packages/FR-2000-01-20/summary,FR,"Federal Register Volume 65 Issue 13 (January 20, 2000)",,2000-01-20
12,FR-2000-01-21,2024-06-08T20:11:14Z,https://api.govinfo.gov/packages/FR-2000-01-21/summary,FR,"Federal Register Volume 65 Issue 14 (January 21, 2000)",,2000-01-21
13,FR-2000-01-24,2024-06-08T20:07:39Z,https://api.govinfo.gov/packages/FR-2000-01-24/summary,FR,"Federal Register Volume 65 Issue 15 (January 24, 2000)",,2000-01-24
14,FR-2000-01-25,2024-06-08T20:04:34Z,https://api.govinfo.gov/packages/FR-2000-01-25/summary,FR,"Federal Register Volume 65 Issue 16 (January 25, 2000)",,2000-01-25
15,FR-2000-01-26,2024-06-08T20:02:57Z,https://api.govinfo.gov/packages/FR-2000-01-26/summary,FR,"Federal Register Volume 65 Issue 17 (January 26, 2000)",,2000-01-26
16,FR-2000-01-27,2024-06-08T20:01:06Z,https://api.govinfo.gov/packages/FR-2000-01-27/summary,FR,"Federal Register Volume 65 Issue 18 (January 27, 2000)",,2000-01-27
17,FR-2000-01-28,2024-06-08T19:59:08Z,https://api.govinfo.gov/packages/FR-2000-01-28/summary,FR,"Federal Register Volume 65 Issue 19 (January 28, 2000)",,2000-01-28
18,FR-2000-01-31,2024-06-08T19:58:49Z,https://api.govinfo.gov/packages/FR-2000-01-31/summary,FR,"Federal Register Volume 65 Issue 20 (January 31, 2000)",,2000-01-31
19,FR-2000-02-01,2024-06-08T19:57:45Z,https://api.govinfo.gov/packages/FR-2000-02-01/summary,FR,"Federal Register Volume 65 Issue 21 (February 1, 2000)",,2000-02-01
20,FR-2000-02-02,2024-06-08T19:56:16Z,https://api.govinfo.gov/packages/FR-2000-02-02/summary,FR,"Federal Register Volume 65 Issue 22 (February 2, 2000)",,2000-02-02
21,FR-2000-02-03,2024-06-08T19:53:54Z,https://api.govinfo.gov/packages/FR-2000-02-03/summary,FR,"Federal Register Volume 65 Issue 23 (February 3, 2000)",,2000-02-03
22,FR-2000-02-04,2024-06-08T19:51:40Z,https://api.govinfo.gov/packages/FR-2000-02-04/summary,FR,"Federal Register Volume 65 Issue 24 (February 4, 2000)",,2000-02-04
23,FR-2000-02-07,2024-06-08T19:48:40Z,https://api.govinfo.gov/packages/FR-2000-02-07/summary,FR,"Federal Register Volume 65 Issue 25 (February 7, 2000)",,2000-02-07
